,Age,Gender,Marital,Income,Ratio,Education,Profession,Optimism,Objective,Score
0,B,A,A,A,A,B,B,A,C,22
1,B,A,A,B,C,B,C,A,A,33
2,B,B,A,A,C,B,B,A,B,21
3,B,B,A,B,A,B,B,A,A,28
4,B,A,A,B,C,B,B,A,A,20
5,B,A,A,B,B,B,B,B,A,30
6,B,A,A,A,A,B,B,A,A,24
7,B,A,A,B,B,B,B,B,A,27
8,B,A,A,C,A,B,B,A,A,19
9,B,B,A,B,A,B,C,A,A,35
10,B,A,A,A,A,B,B,A,C,24
11,B,A,A,B,A,B,C,B,A,38
12,B,A,A,A,A,B,B,A,C,32
13,B,B,A,A,B,B,C,B,B,35
14,B,B,A,B,A,B,B,A,A,24
15,B,B,A,B,A,B,B,A,C,31
16,B,B,A,A,A,B,B,A,C,26
17,B,A,A,A,A,B,B,A,C,22
18,B,A,A,A,A,B,B,B,C,25
19,B,B,A,A,B,B,B,A,A,32
20,B,A,A,A,B,B,B,B,A,26
21,B,A,A,A,A,B,C,B,A,35
22,B,A,A,A,A,B,B,A,A,26
23,B,A,A,A,A,B,B,B,A,31
24,B,B,A,B,C,B,C,B,A,33
25,B,B,A,A,A,B,B,A,C,28
26,B,A,A,A,A,B,C,A,A,34
27,B,B,A,A,A,B,B,B,C,31
28,B,A,A,B,A,B,B,A,A,29
29,B,B,A,B,A,B,B,A,C,26
30,B,A,A,A,B,B,C,A,A,35
31,B,A,A,A,A,B,B,A,C,28
32,B,A,A,B,B,B,B,A,A,21
33,B,A,A,B,B,B,B,A,B,27
34,B,A,A,B,A,A,B,A,A,24
35,B,A,A,B,A,B,B,A,A,26
36,B,B,A,B,B,B,B,B,A,31
37,B,A,A,A,A,B,B,A,A,28
38,C,A,A,C,A,C,B,B,B,22
39,B,B,A,B,A,B,B,A,A,25
40,B,A,A,A,A,B,B,A,C,31
41,B,B,A,A,A,B,B,A,C,24
42,A,A,A,A,A,B,B,A,A,26
43,B,B,A,C,B,B,B,A,A,25
44,B,A,A,A,C,B,B,A,A,26
45,B,B,A,A,A,B,B,A,C,23
46,C,A,B,C,A,B,B,A,A,25
47,C,A,A,C,C,A,B,B,B,25
48,B,A,A,B,A,B,B,A,A,30
